,Unnamed: 0,mesh_area,mesh_rectangularity,mesh_eccentricity,mesh_volume,mesh_a3,mesh_d1,mesh_d2,mesh_d3,mesh_d4,mesh_compactness,mesh_diameter,ID,class
0,0,-0.5450979097959657,-0.6833986793696862,-0.18431770987251392,-0.391371461995638,"[0.1875  0.21408 0.14262 0.10272 0.08468 0.07638 0.068   0.06224 0.04526
 0.01652]","[0.39041438 0.38242636 0.16774838 0.05941088 0.         0.
 0.         0.         0.         0.        ]","[0.0944  0.21846 0.24802 0.197   0.1282  0.06624 0.0284  0.01336 0.00534
 0.00058]","[0.18026 0.46052 0.27432 0.07508 0.00926 0.00056 0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 2.0000e-05]",-0.04658898734929055,0.7398108580812879,0,arthropod
1,1,0.7934584371523508,-0.8204932408312043,-0.19631791747224075,-0.4744457883969663,"[0.16306 0.2202  0.15414 0.12702 0.11094 0.08656 0.05878 0.04344 0.02614
 0.00972]","[0.45407637 0.08101135 0.28379773 0.18111455 0.         0.
 0.         0.         0.         0.        ]","[0.06146851 0.16307483 0.16325509 0.18484618 0.17739545 0.10378946
 0.07260455 0.05129386 0.01630348 0.00596859]","[9.5040e-02 3.4438e-01 3.1648e-01 1.5788e-01 6.9720e-02 1.3240e-02
 3.1600e-03 1.0000e-04 0.0000e+00 0.0000e+00]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 2.0000e-05 0.0000e+00]",-0.012737938050303975,2.007485889897271,1405,winged_vehicle
2,2,0.35584906508961034,-0.7268976848275949,-0.1994628960227232,-0.3439172167121788,"[0.10196 0.19578 0.1914  0.16544 0.12366 0.0885  0.06256 0.03984 0.02348
 0.00738]","[0.16505841 0.45606907 0.30777044 0.07110208 0.         0.
 0.         0.         0.         0.        ]","[0.04134 0.12808 0.19354 0.2449  0.19288 0.11278 0.04742 0.02582 0.01112
 0.00212]","[0.0591  0.29262 0.37904 0.21706 0.0489  0.00328 0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 2.0000e-05 0.0000e+00 0.0000e+00]",-0.045574961359131964,0.9914908772925607,1813,satellite_dish
3,3,0.7319867462186072,-0.8141129094496832,-0.18681767613021324,-0.4761702842605388,"[0.16568 0.17698 0.1413  0.1195  0.11348 0.0958  0.07556 0.05894 0.04018
 0.01258]","[0.20678685 0.49893955 0.19936373 0.09384942 0.00106045 0.
 0.         0.         0.         0.        ]","[0.08334167 0.19416388 0.18672373 0.19080382 0.17030341 0.09932199
 0.05040101 0.01802036 0.00590012 0.00102002]","[1.1960e-01 4.2382e-01 2.9432e-01 1.3254e-01 2.8140e-02 1.5600e-03
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 2.0000e-05 0.0000e+00]",-0.014050683454424794,1.056864496608074,588,handheld
4,4,-0.6325143713484812,-0.8505975401057732,-0.19164838581162275,-0.5235051896134458,"[0.17318 0.18664 0.15478 0.12562 0.10508 0.08482 0.06816 0.051   0.038
 0.01272]","[0.67833828 0.30979228 0.00593472 0.00474777 0.00118694 0.
 0.         0.         0.         0.        ]","[3.1834e-01 3.1368e-01 2.6548e-01 5.8120e-02 3.3660e-02 7.1600e-03
 2.8200e-03 6.8000e-04 6.0000e-05 0.0000e+00]","[5.4784e-01 4.0158e-01 4.4840e-02 5.4800e-03 2.6000e-04 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 2.0000e-05 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",-0.02214993896883984,-0.7134624524950005,1406,winged_vehicle
5,5,-0.5891178726416135,-0.30877817982443695,-0.1556674980496953,-0.3200628558797818,"[0.22856 0.19834 0.12328 0.09726 0.07954 0.0743  0.06448 0.061   0.05114
 0.0221 ]","[0.32735899 0.40643121 0.26410121 0.00210859 0.         0.
 0.         0.         0.         0.        ]","[1.0070e-01 2.4150e-01 2.4446e-01 1.7916e-01 1.0632e-01 6.6280e-02
 4.6780e-02 1.4700e-02 1.0000e-04 0.0000e+00]","[0.20566 0.55076 0.22396 0.01962 0.      0.      0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 2.0000e-05 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",-0.04662296352374871,-0.5414266848620515,1,arthropod
6,6,0.3778197623346506,-0.15624909116464752,-0.19861352894456968,0.7401985823529174,"[0.13554 0.18378 0.18492 0.17046 0.11996 0.07558 0.04944 0.03932 0.03538
 0.00562]","[0.08545336 0.39073712 0.51076321 0.01304631 0.         0.
 0.         0.         0.         0.        ]","[0.03794 0.1052  0.15766 0.19792 0.23312 0.15366 0.08216 0.03028 0.00206
 0.     ]","[0.05318 0.24368 0.321   0.28508 0.08994 0.00712 0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]",-0.04661404549521389,-0.27790498773609,1814,satellite_dish
7,7,0.9205575035906071,0.3191455177670296,-0.18490085843871606,0.28383693281213046,"[0.2137  0.19402 0.12258 0.10058 0.08924 0.07548 0.07208 0.0651  0.04996
 0.01726]","[0.23113888 0.43296492 0.21143681 0.12445939 0.         0.
 0.         0.         0.         0.        ]","[0.0742  0.16836 0.22782 0.18424 0.12534 0.10666 0.064   0.0229  0.01724
 0.00924]","[0.12806 0.43804 0.3152  0.0969  0.0184  0.0034  0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]",-0.04647731651542556,0.7609212568371035,589,handheld
8,8,-0.34103764614940346,-0.8420405243952281,-0.1606734539569572,-0.5193037238744734,"[0.20484 0.18344 0.13086 0.10538 0.09428 0.08    0.07038 0.06656 0.0491
 0.01516]","[0.48678414 0.19162996 0.25550661 0.05726872 0.00881057 0.
 0.         0.         0.         0.        ]","[0.1798  0.15588 0.1585  0.2257  0.13706 0.06308 0.04472 0.02302 0.00864
 0.0036 ]","[0.34164 0.27168 0.26758 0.09296 0.02112 0.00446 0.00056 0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0000e-05
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",0.08508806764938175,0.6234500533698386,10,arthropod
9,9,-0.11165003579743822,-0.35008280606879827,-0.19293878351921254,-0.30627011193477294,"[0.13166 0.2056  0.18448 0.15116 0.129   0.0854  0.05094 0.03474 0.01996
 0.00706]","[0.42688558 0.36172396 0.16521293 0.03694202 0.00923551 0.
 0.         0.         0.         0.        ]","[0.07918 0.26408 0.3065  0.1353  0.13442 0.03762 0.02232 0.01794 0.00264
 0.     ]","[1.5890e-01 4.9784e-01 2.8384e-01 4.8000e-02 9.7600e-03 1.4000e-03
 2.6000e-04 0.0000e+00 0.0000e+00 0.0000e+00]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 2.0000e-05 0.0000e+00 0.0000e+00]",-0.04645362844396857,-0.48862835696276136,1407,winged_vehicle
